Player,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS,FGM,FGA,3PM,3PA,FTM,FTA,AST/TO,TS%,ORtg,DRtg,eDiff
Brasília,6.0,23.0,29.0,16.0,14.0,6.0,16.0,3.0,66.0,23.0,53.0,9.0,27.0,11.0,19.0,1.0,53.78,92.49,111.52,-19.03
Brasília,6.0,26.0,32.0,18.0,21.0,10.0,13.0,0.0,84.0,31.0,69.0,14.0,39.0,8.0,11.0,1.38,56.88,103.91,114.03,-10.120000000000005
Brasília,13.0,37.0,50.0,18.0,22.0,12.0,15.0,4.0,78.0,30.0,78.0,9.0,35.0,9.0,13.0,1.2,46.58,90.99,96.74,-5.75
Brasília,8.0,25.0,33.0,18.0,20.0,10.0,9.0,4.0,91.0,34.0,67.0,12.0,34.0,11.0,18.0,2.0,60.73,119.86,118.74,1.1200000000000045
Brasília,8.0,21.0,29.0,15.0,18.0,9.0,12.0,3.0,67.0,24.0,60.0,7.0,30.0,12.0,17.0,1.25,49.64,93.73,95.04,-1.3100000000000023
Brasília,19.0,20.0,39.0,18.0,18.0,9.0,12.0,2.0,64.0,21.0,69.0,12.0,42.0,10.0,15.0,1.5,42.33,93.29,102.88,-9.58999999999999
