Player,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS,FGM,FGA,3PM,3PA,FTM,FTA,AST/TO,TS%,ORtg,DRtg,eDiff
Corinthians,9.0,28.0,37.0,16.0,18.0,4.0,21.0,2.0,74.0,24.0,56.0,10.0,31.0,16.0,19.0,0.76,57.49,96.91,112.15,-15.240000000000009
Flamengo,8.0,21.0,29.0,22.0,18.0,6.0,12.0,1.0,83.0,27.0,60.0,14.0,35.0,15.0,19.0,1.83,60.71,114.7,121.92,-7.219999999999999
Flamengo,10.0,21.0,31.0,20.0,23.0,9.0,15.0,1.0,87.0,28.0,64.0,17.0,41.0,14.0,16.0,1.33,61.23,114.41,118.79,-4.38000000000001
Minas,9.0,35.0,44.0,18.0,25.0,2.0,17.0,2.0,78.0,30.0,70.0,9.0,26.0,9.0,9.0,1.06,52.73,95.17,98.09,-2.9200000000000017
