Player,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS,FGM,FGA,3PM,3PA,FTM,FTA,AST/TO,TS%,ORtg,DRtg,eDiff
Brasília,17.0,24.0,41.0,23.0,20.0,9.0,10.0,0.0,89.0,32.0,78.0,10.0,33.0,15.0,19.0,2.3,51.53,112.15,96.91,15.240000000000009
Brasília,9.0,24.0,33.0,21.0,15.0,5.0,10.0,4.0,85.0,32.0,63.0,10.0,28.0,11.0,13.0,2.1,61.85,121.92,114.7,7.219999999999999
Brasília,13.0,27.0,40.0,18.0,21.0,7.0,16.0,4.0,89.0,31.0,64.0,13.0,25.0,14.0,18.0,1.12,61.87,118.79,114.41,4.38000000000001
Brasília,10.0,30.0,40.0,21.0,15.0,9.0,12.0,5.0,80.0,26.0,69.0,9.0,35.0,19.0,24.0,1.75,50.28,98.09,95.17,2.9200000000000017
