Team,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,ORtg,DRtg,eDiff,Pace,Ast/TO,W's,Win %
Franca,88.0,31.3,65.4,0.478,10.7,30.0,0.359,14.7,19.0,0.774,10.6,30.2,40.7,17.3,5.7,2.7,11.5,0.596,0.56,29.6,74.7,53.6,55.3,13.5,7.6,7.6,118.7,103.5,15.2,74.0,1.5,38,0.884
Flamengo,85.9,30.1,65.8,0.458,12.6,34.6,0.363,13.1,17.8,0.738,12.5,28.8,41.3,19.4,6.3,2.3,12.7,0.583,0.553,33.3,74.2,54.2,64.4,14.7,8.7,6.0,118.0,100.7,17.3,72.7,1.5,33,0.786
Sao Paulo FC,82.8,29.8,61.7,0.482,10.0,28.4,0.351,13.3,18.3,0.728,7.8,27.9,35.7,17.4,6.9,2.6,11.6,0.594,0.563,22.7,69.8,48.1,58.6,14.3,9.5,7.1,113.4,102.2,11.2,72.1,1.5,27,0.692
Minas,82.8,29.5,62.3,0.474,10.0,28.1,0.356,13.7,18.3,0.751,10.3,27.2,37.4,16.7,6.9,2.4,13.0,0.589,0.554,30.0,72.6,52.3,56.5,15.6,9.6,6.7,114.7,106.4,8.4,72.0,1.3,28,0.718
Pinheiros Sky,80.9,29.4,69.8,0.422,9.6,28.9,0.334,12.4,17.4,0.714,14.1,27.2,41.3,16.8,7.5,2.7,13.4,0.522,0.491,33.9,73.2,52.5,57.0,14.8,10.1,7.9,107.4,108.1,-0.6,74.9,1.3,17,0.459
Cerrado Basquete,77.7,28.7,69.5,0.413,8.5,29.1,0.291,11.8,17.0,0.695,13.0,29.1,42.1,15.1,6.1,3.1,13.5,0.505,0.474,30.6,69.9,50.0,52.7,14.9,8.0,6.9,101.5,107.8,-6.3,74.1,1.1,10,0.313
Bauru,77.7,28.0,62.4,0.448,10.2,29.7,0.342,11.6,15.4,0.749,8.2,26.2,34.4,16.9,6.8,1.9,11.8,0.561,0.53,22.9,70.5,47.2,60.5,14.5,9.5,5.5,108.2,107.9,0.3,71.2,1.4,23,0.605
Unifacisa Paraiba,77.5,28.2,64.4,0.438,10.0,28.9,0.346,11.1,15.1,0.736,10.5,26.2,36.8,14.8,7.6,1.4,12.1,0.545,0.515,28.6,73.0,50.6,52.4,14.6,10.6,4.2,108.4,106.0,2.4,71.5,1.2,22,0.595
Mogi das Cruzes,76.8,27.9,63.9,0.437,9.3,28.5,0.328,11.6,16.1,0.724,11.1,28.6,39.7,19.3,6.7,2.6,17.0,0.542,0.511,29.8,72.9,51.9,69.1,19.3,8.9,7.0,101.4,109.3,-8.0,74.7,1.1,11,0.344
Paulistano,76.5,27.8,64.1,0.434,8.5,25.6,0.333,12.3,16.7,0.737,11.1,25.2,36.3,15.2,7.0,2.2,12.9,0.535,0.501,29.4,69.8,49.1,54.7,15.3,9.7,6.0,105.4,106.8,-1.5,71.7,1.2,18,0.486
Corinthians,75.8,27.4,64.8,0.422,10.7,31.6,0.339,10.4,13.9,0.747,12.7,26.2,38.9,16.2,5.3,2.1,13.2,0.534,0.505,33.3,71.6,52.0,59.4,15.7,7.6,5.6,107.6,107.5,0.2,69.8,1.2,13,0.382
Rio Claro Basquete,75.5,26.8,62.7,0.427,7.5,24.6,0.305,14.5,19.2,0.751,11.0,24.1,35.1,14.3,6.7,1.6,12.3,0.53,0.487,29.6,71.5,49.6,53.3,14.7,9.5,5.1,106.1,109.8,-3.7,70.7,1.2,14,0.424
Uniceub-BRB-Brasilia,75.2,26.6,62.8,0.423,8.2,25.2,0.324,13.9,20.0,0.694,11.6,29.3,41.0,14.4,5.2,2.2,15.3,0.525,0.488,30.5,72.6,52.1,54.0,17.6,6.9,5.9,100.9,109.5,-8.7,72.8,0.9,7,0.226
Basquete Cearense,74.8,27.5,65.9,0.418,7.3,25.2,0.288,12.5,19.4,0.643,10.6,27.2,37.8,13.7,7.2,2.3,13.5,0.502,0.473,26.5,68.7,47.5,49.7,15.4,9.5,6.3,98.3,108.8,-10.4,74.3,1.0,9,0.29
Uniao Corinthians,74.5,27.0,68.0,0.397,8.4,28.7,0.294,12.0,17.7,0.68,11.0,26.3,37.3,14.9,8.1,2.4,12.9,0.491,0.459,25.8,73.3,47.5,55.0,14.5,10.6,7.0,97.2,108.7,-11.5,76.6,1.2,8,0.25
Pato Basquete,73.1,26.1,64.0,0.408,9.5,29.0,0.328,11.3,17.1,0.664,10.4,25.6,36.0,13.1,7.3,1.6,13.6,0.511,0.482,26.6,72.8,48.5,50.0,16.0,9.9,4.6,99.1,106.5,-7.4,73.7,1.0,13,0.371
Caxias Do Sul Basquetetriches,70.4,26.1,61.0,0.428,8.0,24.9,0.321,10.3,14.9,0.691,8.3,24.8,33.1,15.8,7.1,2.5,13.6,0.521,0.493,22.8,68.4,45.7,60.7,16.7,9.8,6.9,97.5,106.9,-9.4,72.2,1.2,12,0.353
