Team,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,ORtg,DRtg,eDiff,Pace,Ast/TO,W's,Win %
Franca,90.8,31.2,64.6,0.483,10.1,29.0,0.348,18.3,23.5,0.78,10.5,28.9,39.5,19.5,8.1,1.8,12.2,0.606,0.561,30.4,74.3,53.7,62.5,14.0,10.8,5.0,120.1,101.7,18.4,75.5,1.6,32,0.842
Minas,88.0,30.7,66.2,0.463,9.9,28.5,0.347,16.8,23.4,0.717,12.2,29.1,41.3,20.8,7.4,3.1,13.8,0.575,0.538,32.2,71.0,52.4,67.7,15.3,9.7,8.0,113.8,105.0,8.8,76.8,1.5,29,0.763
Flamengo,87.5,30.6,65.5,0.468,11.6,31.7,0.365,14.6,20.1,0.727,10.5,26.2,36.8,19.6,8.1,1.3,12.8,0.588,0.556,28.8,70.4,49.9,64.0,14.6,10.9,3.6,115.7,104.5,11.2,75.5,1.5,28,0.737
Pinheiros Sky,85.3,30.1,66.9,0.449,10.9,32.6,0.336,14.2,19.2,0.739,13.1,28.5,41.6,19.3,7.5,2.4,13.2,0.565,0.531,34.6,73.3,54.2,64.1,14.9,10.2,7.0,115.0,99.9,15.1,74.2,1.5,30,0.789
Corinthians,85.2,30.6,64.6,0.474,10.7,28.6,0.374,13.3,17.3,0.771,11.5,28.5,40.0,21.7,6.0,2.8,15.1,0.59,0.556,32.3,70.0,52.4,70.9,17.3,8.2,7.3,114.1,106.3,7.8,74.5,1.4,27,0.711
Paulistano,83.3,29.7,67.0,0.443,9.8,28.3,0.345,14.1,19.3,0.733,12.4,28.0,40.5,15.3,7.2,2.4,12.9,0.551,0.516,32.8,74.2,53.4,51.5,14.6,9.7,6.5,111.7,104.8,6.9,73.6,1.2,24,0.632
Sao Jose Unimed Vinac,82.1,28.5,64.3,0.443,8.8,27.9,0.317,16.2,21.7,0.746,9.6,27.1,36.8,18.9,8.3,2.3,13.6,0.556,0.512,26.0,69.2,48.2,66.4,15.6,11.0,6.1,107.1,105.1,2.0,76.3,1.4,22,0.579
Unifacisa Paraiba,81.6,29.6,64.7,0.457,8.7,26.2,0.332,13.8,18.8,0.735,11.2,28.2,39.4,18.6,6.6,2.2,14.4,0.56,0.525,30.2,72.3,51.8,62.7,16.5,8.8,6.1,108.3,106.7,1.6,74.6,1.3,20,0.526
Uniceub-BRB-Brasilia,81.6,28.1,65.1,0.432,10.4,32.1,0.324,14.9,20.1,0.742,11.6,28.1,39.7,19.0,8.4,2.4,13.4,0.551,0.512,30.4,71.5,51.2,67.4,15.4,11.2,7.2,109.2,96.3,12.9,73.8,1.4,28,0.737
Bauru,81.0,29.0,65.8,0.441,8.9,27.6,0.322,14.1,19.2,0.734,10.9,25.1,36.1,20.9,8.4,1.5,14.0,0.546,0.509,28.8,72.6,49.7,72.2,15.9,11.1,4.4,106.4,104.9,1.5,75.7,1.5,21,0.553
Cruzeiro,80.2,28.0,62.8,0.446,8.3,24.2,0.343,16.0,21.3,0.752,9.2,27.4,36.6,18.4,6.4,1.9,14.6,0.556,0.512,25.1,71.2,48.7,65.9,16.8,8.4,4.9,104.6,111.4,-6.8,77.0,1.3,13,0.342
Uniao Corinthians,80.2,29.3,64.3,0.455,8.1,24.9,0.323,13.5,19.0,0.712,10.7,27.7,38.4,18.5,6.1,2.8,13.9,0.551,0.518,29.3,69.6,50.3,63.1,16.1,8.2,7.5,107.0,109.3,-2.3,74.3,1.3,19,0.5
Rio Claro Basquete,78.6,27.2,64.0,0.424,8.0,25.9,0.309,16.3,21.8,0.748,11.2,26.2,37.4,14.8,6.5,3.3,14.4,0.534,0.487,29.0,69.9,49.1,54.7,16.4,8.6,9.2,103.5,112.3,-8.8,74.7,1.0,12,0.316
Mogi das Cruzes,76.3,26.6,66.0,0.403,10.2,33.2,0.306,13.0,19.2,0.679,14.0,28.1,42.1,16.7,7.4,2.6,13.3,0.513,0.48,34.2,73.5,53.1,62.6,15.1,10.3,7.3,104.9,97.8,7.2,72.5,1.3,21,0.553
Basquete Cearense,76.2,26.6,65.4,0.407,7.3,24.8,0.294,15.6,21.8,0.717,12.5,25.1,37.7,15.6,7.8,2.2,15.6,0.508,0.463,31.2,67.9,48.9,58.6,17.2,10.2,6.1,99.0,115.6,-16.6,76.8,1.0,7,0.184
Osasco Basquete,76.1,26.9,65.3,0.412,8.8,29.3,0.301,13.4,18.6,0.724,10.8,25.4,36.2,17.1,7.5,2.1,14.2,0.517,0.479,27.2,70.2,47.7,63.6,16.2,9.9,5.5,99.8,115.0,-15.2,76.1,1.2,7,0.184
Caxias Do Sul Basquetetriches,74.0,25.7,60.3,0.425,9.0,27.3,0.33,13.7,19.2,0.713,10.7,23.6,34.3,17.5,7.3,1.4,14.3,0.538,0.5,29.1,68.3,48.2,68.1,17.2,10.3,4.1,103.4,107.3,-3.9,70.9,1.2,17,0.447
Botafogo F.R.,73.5,26.9,63.5,0.423,7.2,25.0,0.289,12.6,19.0,0.662,10.5,24.7,35.2,15.5,6.9,2.2,14.3,0.511,0.48,27.7,69.3,47.8,57.7,16.6,9.4,6.2,98.6,112.4,-13.8,74.8,1.1,10,0.263
Pato Basquete,71.9,25.8,65.6,0.393,8.6,30.7,0.28,11.8,17.2,0.686,13.2,25.1,38.4,14.8,7.9,3.2,16.1,0.492,0.458,32.2,67.9,49.1,57.4,18.0,10.7,9.3,96.1,108.0,-11.9,73.9,0.9,7,0.184
Vasco da Gama,71.5,25.4,61.9,0.41,8.0,27.3,0.294,12.7,18.9,0.669,10.3,24.7,35.0,18.1,7.3,1.8,15.8,0.509,0.475,26.9,69.3,47.4,71.2,18.4,10.0,5.1,96.0,109.3,-13.3,74.3,1.1,6,0.158
