Team,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,ORtg,DRtg,eDiff,Pace,Ast/TO,W's,Win %
Flamengo,87.7,30.0,64.6,0.464,9.0,26.5,0.34,18.8,24.5,0.765,9.6,26.9,36.5,20.4,6.2,2.0,12.5,0.582,0.534,28.7,74.2,52.3,67.9,14.2,8.0,4.7,114.6,103.9,10.8,74.8,1.6,23,0.697
Mogi das Cruzes,81.8,28.0,63.5,0.442,10.7,30.1,0.354,15.1,20.7,0.729,8.6,24.0,32.6,18.9,8.4,1.2,11.7,0.563,0.526,26.4,74.7,50.4,67.4,13.8,11.5,3.6,111.6,103.5,8.1,72.0,1.6,22,0.667
Pinheiros Sky,81.6,28.1,62.2,0.452,6.7,21.2,0.317,18.6,25.2,0.737,9.1,24.4,33.6,16.9,7.4,2.6,13.0,0.557,0.506,27.7,73.2,50.6,60.2,15.0,9.8,6.8,108.3,107.6,0.8,75.1,1.3,24,0.558
Bauru,81.5,27.9,61.6,0.453,9.8,28.0,0.348,16.0,22.1,0.721,8.1,26.4,34.5,17.4,7.1,2.1,13.3,0.572,0.532,24.4,70.2,48.7,62.5,15.7,9.7,5.3,110.5,102.5,8.0,72.8,1.3,30,0.667
Uniceub-BRB-Brasilia,81.2,29.0,62.3,0.466,8.6,23.5,0.365,14.5,19.7,0.737,9.0,24.4,33.4,20.2,6.3,2.3,13.3,0.572,0.535,28.4,71.1,50.6,69.6,15.8,8.7,5.5,111.2,106.3,4.9,72.8,1.5,20,0.625
Paulistano,80.6,27.3,64.5,0.424,10.0,29.3,0.343,15.9,20.6,0.775,10.1,23.2,33.2,16.8,6.7,2.4,12.1,0.548,0.502,30.7,74.6,52.0,61.6,14.2,9.3,6.7,111.3,106.9,4.4,72.1,1.4,27,0.587
Franca,80.3,27.1,60.1,0.451,8.1,23.8,0.339,18.1,24.2,0.746,8.4,22.8,31.2,15.7,6.4,1.7,13.2,0.568,0.518,26.8,71.1,49.2,58.1,15.7,8.7,4.4,109.5,107.1,2.4,72.0,1.2,21,0.636
Universo Vitoria Salvador,76.8,26.8,61.3,0.437,7.7,23.0,0.335,15.4,21.1,0.733,7.7,23.9,31.6,16.4,7.8,1.5,13.6,0.544,0.5,25.0,72.8,49.7,61.3,16.1,10.7,4.3,104.1,103.5,0.7,73.3,1.2,22,0.537
Minas,76.6,27.4,62.7,0.437,7.9,25.4,0.312,13.9,19.4,0.715,9.4,22.7,32.1,16.8,7.4,1.9,14.8,0.538,0.5,28.2,71.7,49.4,61.4,17.2,9.9,5.2,103.2,112.1,-8.9,73.0,1.1,7,0.25
Basquete Cearense,75.8,26.7,65.2,0.409,9.2,27.4,0.336,13.2,18.8,0.704,9.1,24.9,33.9,13.9,7.4,2.2,12.7,0.516,0.48,25.6,76.3,50.0,52.0,14.7,9.9,6.3,101.3,104.9,-3.6,73.4,1.1,14,0.424
Macae Basquete,75.8,27.1,61.1,0.444,7.5,22.2,0.337,14.0,18.2,0.773,7.6,21.0,28.7,16.4,6.6,1.6,12.8,0.548,0.505,25.0,71.1,47.7,60.4,15.6,9.2,5.0,105.4,111.1,-5.7,71.2,1.3,8,0.258
Vasco da Gama,75.7,25.5,57.5,0.443,8.4,23.3,0.359,16.4,20.9,0.785,7.4,21.5,28.9,15.6,6.8,1.2,13.3,0.568,0.516,25.1,69.9,48.0,61.4,16.6,9.7,3.3,107.1,111.2,-4.1,70.2,1.2,16,0.485
Campo Mourao,75.6,25.4,62.9,0.404,9.0,26.7,0.336,15.8,21.8,0.724,9.7,23.3,33.0,14.4,7.5,2.4,12.6,0.521,0.475,27.1,70.4,47.8,56.6,14.8,10.2,6.3,102.7,107.2,-4.5,72.8,1.1,15,0.455
Caxias Do Sul Basquetetriches,72.2,24.8,59.4,0.416,6.4,20.8,0.309,16.3,22.8,0.715,7.7,22.3,30.0,14.3,7.4,1.9,13.4,0.52,0.471,23.2,70.0,46.1,57.7,16.2,10.2,5.2,98.9,110.9,-12.1,72.1,1.1,5,0.179
Liga Sorocabana,68.6,24.2,61.2,0.396,7.5,24.6,0.304,12.7,17.7,0.719,12.6,22.5,35.1,14.0,7.7,1.6,13.5,0.497,0.457,34.5,72.8,52.1,58.0,16.4,11.2,5.0,99.1,111.5,-12.4,68.6,1.0,6,0.214
