Team,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,ORtg,DRtg,eDiff,Pace,Ast/TO,W's,Win %
Franca,85.7,29.9,62.5,0.479,10.3,27.4,0.376,15.6,19.6,0.796,10.3,28.4,38.8,19.4,6.1,2.6,13.2,0.603,0.561,30.9,73.4,53.7,64.7,15.7,8.4,7.3,117.6,102.7,15.0,72.4,1.5,42,0.84
Unifacisa Paraiba,85.3,29.7,65.0,0.457,10.9,31.8,0.342,15.0,19.5,0.772,10.4,26.3,36.8,17.6,7.1,2.1,12.3,0.579,0.54,28.8,71.1,50.2,59.2,14.3,9.6,5.3,114.8,108.6,6.2,73.8,1.4,24,0.632
Minas,85.2,29.6,62.4,0.475,10.6,28.6,0.37,15.4,20.8,0.737,11.2,27.9,39.1,19.5,6.0,2.4,12.7,0.595,0.56,32.2,72.4,53.4,65.9,15.1,8.4,6.5,117.8,103.9,13.9,71.7,1.5,35,0.729
Flamengo,84.0,29.8,63.4,0.47,9.9,28.5,0.348,14.5,19.5,0.747,11.1,27.6,38.7,20.1,8.0,1.4,12.7,0.584,0.548,32.0,75.1,54.2,67.4,15.0,11.2,4.4,116.7,100.2,16.5,71.5,1.6,40,0.833
Corinthians,80.9,29.1,63.9,0.456,9.7,28.1,0.344,13.0,18.1,0.719,10.3,26.7,37.0,18.4,5.9,2.1,12.1,0.563,0.531,28.1,71.8,50.1,63.3,14.4,8.2,5.4,111.1,109.9,1.3,73.0,1.5,19,0.5
Bauru,80.4,29.3,63.4,0.462,9.3,27.5,0.338,12.5,16.5,0.758,9.3,24.7,34.0,19.0,7.7,2.0,12.8,0.569,0.536,26.1,69.0,47.5,64.8,15.4,10.6,5.9,109.6,107.9,1.7,72.0,1.5,29,0.63
Sao Paulo FC,79.6,27.7,59.3,0.468,9.5,26.8,0.355,14.6,18.8,0.776,8.3,26.1,34.5,16.5,5.7,2.0,12.6,0.589,0.548,24.8,69.9,48.6,59.6,15.7,8.0,6.0,111.6,113.9,-2.3,71.0,1.3,21,0.488
Botafogo F.R.,78.9,27.7,65.4,0.423,9.0,28.4,0.317,14.6,20.1,0.723,11.1,23.8,34.8,16.6,6.9,2.1,13.7,0.531,0.492,28.1,67.3,46.7,60.0,15.6,9.2,5.9,104.1,116.1,-12.0,75.2,1.2,10,0.263
Sao Jose Unimed Vinac,78.7,28.9,63.8,0.454,8.6,25.4,0.339,12.2,18.1,0.672,11.0,26.9,37.9,18.4,7.6,1.7,14.3,0.548,0.521,30.2,75.1,52.5,63.5,16.6,10.3,5.0,106.1,105.5,0.6,73.6,1.3,19,0.5
Basquete Cearense,78.3,28.3,59.1,0.479,8.0,23.8,0.339,13.6,19.0,0.713,9.0,27.3,36.4,16.0,5.8,2.0,14.0,0.58,0.547,26.8,71.5,50.6,56.6,17.2,8.1,5.3,108.5,107.1,1.5,70.9,1.1,22,0.537
Pato Basquete,77.7,29.1,65.0,0.447,9.2,28.3,0.325,10.4,15.2,0.68,11.3,25.9,37.2,16.8,5.6,1.1,11.7,0.542,0.518,30.2,72.2,50.8,57.8,14.1,8.0,3.3,109.0,111.5,-2.5,71.2,1.4,17,0.447
Vasco da Gama,75.6,26.2,59.4,0.441,9.0,27.4,0.328,14.3,19.5,0.732,10.0,26.6,36.6,19.3,7.1,2.7,15.1,0.556,0.517,28.5,70.2,50.1,73.9,18.2,9.8,7.4,104.6,101.3,3.4,71.0,1.3,28,0.651
Paulistano,75.4,27.7,63.9,0.433,7.9,24.7,0.318,12.3,17.8,0.689,12.7,26.2,38.9,16.7,8.1,2.2,13.1,0.526,0.495,33.2,75.9,53.5,60.3,15.5,11.4,6.4,105.7,99.1,6.6,71.4,1.3,24,0.585
Cerrado Basquete,74.9,27.4,65.3,0.42,8.3,25.0,0.33,11.9,17.7,0.671,12.5,26.9,39.5,15.5,7.2,1.8,13.2,0.513,0.483,32.0,72.1,51.6,56.4,15.3,9.9,5.1,103.2,107.4,-4.2,72.0,1.2,8,0.222
Uniao Corinthians,74.7,26.7,62.2,0.429,8.2,25.2,0.326,13.0,18.2,0.714,9.7,24.4,34.2,16.2,6.2,1.8,13.1,0.531,0.495,26.5,71.9,48.3,60.5,15.7,8.6,4.9,102.5,115.1,-12.6,72.3,1.2,10,0.263
Pinheiros Sky,73.7,26.3,61.4,0.428,8.1,25.3,0.322,13.1,18.0,0.724,11.2,26.0,37.3,18.3,5.3,2.2,13.7,0.532,0.494,31.0,72.0,51.5,69.7,16.5,7.5,6.3,104.3,109.6,-5.3,70.7,1.3,15,0.395
Uniceub-BRB-Brasilia,73.5,26.2,64.6,0.405,9.4,28.3,0.333,11.8,16.8,0.703,9.1,22.5,31.7,13.6,6.9,1.4,12.6,0.511,0.478,23.1,67.7,43.5,51.9,14.9,9.4,3.8,98.9,119.6,-20.7,74.1,1.1,5,0.139
Mogi das Cruzes,72.9,25.5,59.9,0.425,9.9,27.8,0.355,12.1,17.2,0.702,9.9,23.3,33.2,16.5,6.3,1.0,13.6,0.54,0.508,27.3,69.7,47.7,64.8,16.7,9.0,2.9,103.6,113.3,-9.7,69.9,1.2,10,0.263
Caxias Do Sul Basquetetriches,72.5,25.0,62.3,0.401,7.0,25.1,0.28,15.5,21.6,0.719,11.5,23.0,34.5,16.6,7.8,1.7,14.3,0.505,0.457,29.3,68.8,47.5,66.6,16.6,10.7,5.0,99.0,111.4,-12.3,72.4,1.2,8,0.222
