Team,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,ORtg,DRtg,eDiff,Pace,Ast/TO,W's,Win %
Franca,90.8,31.4,64.2,0.49,11.1,28.9,0.385,16.8,21.5,0.779,10.0,29.8,39.8,18.7,5.4,2.6,12.2,0.617,0.577,29.2,75.0,53.8,59.3,14.2,7.2,6.9,121.2,107.0,14.2,74.1,1.5,41,0.872
Minas,86.0,31.2,63.8,0.488,10.1,26.4,0.383,13.5,17.7,0.762,10.5,29.3,39.9,19.8,5.7,1.7,13.5,0.6,0.568,30.6,73.6,53.7,63.5,15.9,7.7,4.7,116.0,108.8,7.3,73.6,1.5,27,0.643
Sao Paulo FC,85.7,30.4,64.2,0.474,11.3,30.1,0.374,13.6,18.0,0.758,8.8,26.1,34.9,17.8,7.3,1.3,12.2,0.595,0.562,24.8,68.0,47.3,58.6,14.4,9.8,3.6,115.0,107.8,7.2,74.1,1.5,30,0.682
Flamengo,83.8,29.9,64.4,0.465,11.9,33.2,0.36,11.9,16.3,0.734,12.1,29.4,41.5,19.9,6.3,2.0,13.3,0.586,0.558,34.2,75.7,55.9,66.4,15.6,8.9,5.6,117.4,99.3,18.1,71.4,1.5,31,0.795
Cerrado Basquete,81.3,28.3,65.7,0.431,12.3,35.7,0.344,12.4,17.9,0.69,10.2,25.7,35.9,15.7,6.5,1.9,15.6,0.553,0.525,25.9,69.3,47.0,55.3,17.5,8.3,4.4,104.1,118.2,-14.2,77.4,1.0,5,0.156
Pinheiros Sky,80.9,29.2,67.1,0.435,8.4,25.9,0.325,14.2,20.5,0.692,13.6,29.2,42.8,18.4,7.4,2.1,14.5,0.532,0.497,34.6,74.3,54.4,63.1,16.0,9.9,6.5,107.0,103.3,3.7,75.2,1.3,23,0.605
Sao Jose Unimed Vinac,80.7,29.8,64.1,0.465,9.2,26.4,0.348,11.9,16.4,0.726,10.2,25.6,35.8,20.3,6.3,2.4,12.3,0.566,0.537,28.4,69.6,49.2,67.9,14.7,8.6,6.4,110.9,113.3,-2.4,72.9,1.6,16,0.457
Corinthians,80.7,28.7,62.2,0.462,9.0,27.4,0.33,14.2,19.4,0.733,10.6,28.8,39.4,16.7,5.4,3.6,15.4,0.571,0.535,29.5,71.3,51.7,58.0,17.9,7.3,8.6,107.5,105.9,1.6,75.0,1.1,17,0.5
Unifacisa Paraiba,78.9,27.9,63.6,0.439,9.9,27.8,0.356,13.1,17.6,0.746,9.7,26.1,35.9,14.8,6.6,1.4,12.9,0.553,0.517,26.4,73.8,49.7,52.8,15.3,9.0,4.0,107.5,109.6,-2.1,72.7,1.1,20,0.513
Uniao Corinthians,78.6,27.6,66.2,0.416,11.3,33.5,0.336,12.2,16.7,0.728,9.8,26.3,36.1,17.9,7.3,2.3,12.8,0.534,0.502,24.4,70.3,46.6,65.1,14.8,9.7,6.3,104.0,109.1,-5.1,74.8,1.4,10,0.313
Paulistano,78.5,28.9,69.1,0.419,8.5,26.8,0.316,12.2,17.0,0.72,13.9,26.2,40.1,14.6,7.6,2.4,11.6,0.513,0.48,34.1,71.5,51.8,50.5,13.1,10.5,6.5,108.0,101.1,6.9,72.6,1.3,25,0.625
Bauru,78.3,27.9,61.7,0.453,10.3,29.0,0.353,12.1,16.1,0.756,8.8,24.5,33.4,17.4,7.4,1.6,10.9,0.569,0.536,25.6,72.9,48.9,62.3,13.7,10.7,4.9,112.0,104.3,7.7,69.7,1.6,22,0.564
Uniceub-BRB-Brasilia,77.7,26.9,63.6,0.423,9.1,28.0,0.325,14.7,21.1,0.698,10.9,26.1,37.0,16.6,5.8,1.3,15.5,0.533,0.495,27.5,72.0,48.8,61.6,17.5,7.6,3.5,101.5,114.8,-13.3,76.6,1.1,7,0.219
Pato Basquete,77.4,28.5,65.2,0.437,8.7,27.3,0.318,11.8,17.3,0.679,11.3,24.0,35.3,14.0,8.0,1.3,13.8,0.531,0.503,29.8,69.5,48.7,49.2,16.0,10.9,3.9,104.3,113.6,-9.4,74.0,1.0,11,0.314
Rio Claro Basquete,75.9,27.7,64.8,0.427,7.6,24.5,0.308,13.0,18.3,0.71,10.1,23.4,33.5,16.2,6.7,1.5,12.3,0.521,0.486,25.8,68.3,45.6,58.4,14.4,9.1,4.2,102.2,119.1,-16.9,74.0,1.3,7,0.219
Basquete Cearense,73.8,26.9,65.8,0.409,7.6,25.4,0.3,12.3,20.0,0.617,12.1,27.9,40.1,13.0,6.6,1.7,13.5,0.495,0.467,28.9,73.5,50.1,48.2,15.3,8.8,5.0,97.8,111.1,-13.3,75.0,1.0,9,0.281
Caxias Do Sul Basquetetriches,72.5,25.6,61.9,0.414,7.8,25.0,0.311,13.4,18.9,0.712,9.2,26.1,35.3,12.8,7.3,2.1,13.8,0.516,0.477,24.2,69.8,46.8,49.8,16.4,10.0,6.0,98.3,103.6,-5.3,73.6,0.9,12,0.353
