Team,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,ORtg,DRtg,eDiff,Pace,Ast/TO,W's,Win %
Paulistano,84.3,29.1,66.9,0.435,12.3,34.0,0.363,13.8,18.2,0.756,10.1,26.2,36.3,19.9,6.6,2.7,12.1,0.563,0.527,30.7,73.8,53.1,68.3,13.9,9.1,7.1,115.0,99.8,15.2,73.1,1.6,32,0.8
Flamengo,83.6,29.7,63.4,0.468,8.6,24.6,0.35,15.6,20.5,0.763,9.3,24.7,34.0,19.7,6.1,1.8,10.8,0.577,0.535,29.2,74.4,52.2,66.4,13.0,8.3,4.7,115.4,103.1,12.3,72.5,1.8,29,0.829
Bauru,81.2,28.3,59.8,0.473,9.7,27.1,0.357,15.0,20.0,0.749,7.1,25.5,32.6,16.5,6.0,2.2,12.3,0.591,0.554,23.1,75.4,50.6,58.5,15.2,8.3,6.1,112.5,106.8,5.7,72.1,1.3,24,0.615
Franca,80.0,29.4,63.7,0.461,8.2,24.7,0.33,13.0,18.8,0.69,9.0,25.8,34.8,17.2,7.3,2.8,13.9,0.555,0.525,28.3,75.5,52.7,58.6,16.2,9.9,7.6,107.6,96.2,11.4,73.9,1.2,22,0.71
Vasco da Gama,79.4,27.5,61.3,0.449,8.5,26.5,0.321,15.8,21.3,0.741,7.4,23.4,30.8,19.1,6.1,1.8,12.6,0.562,0.518,23.0,73.4,48.1,69.4,15.1,8.3,4.6,107.7,110.4,-2.8,73.4,1.5,13,0.406
Universo Vitoria Salvador,77.1,26.8,65.4,0.41,8.2,24.3,0.335,15.3,19.7,0.777,9.2,26.5,35.6,17.0,7.6,1.8,14.3,0.52,0.472,27.5,75.6,52.1,63.3,16.2,10.0,5.0,101.3,101.1,0.2,75.2,1.2,15,0.469
Pinheiros Sky,77.1,27.3,62.4,0.437,6.8,21.2,0.32,15.7,22.7,0.691,9.4,24.5,33.9,15.2,7.6,1.9,12.1,0.532,0.491,29.2,74.8,52.1,55.8,14.3,10.5,5.4,106.0,100.8,5.2,72.7,1.3,16,0.516
Mogi das Cruzes,75.4,26.8,61.9,0.433,9.1,27.6,0.33,12.6,17.4,0.727,8.4,24.7,33.1,17.3,7.5,2.0,11.9,0.542,0.507,25.8,73.0,49.8,64.7,14.6,10.6,5.6,105.9,100.0,5.9,71.2,1.5,25,0.658
Caxias Do Sul Basquetetriches,74.5,26.5,61.2,0.434,7.3,22.4,0.325,14.2,20.3,0.697,8.5,22.9,31.4,15.9,8.7,1.8,13.1,0.531,0.493,26.1,75.6,50.0,60.0,15.7,12.1,5.7,103.0,100.5,2.4,71.9,1.2,21,0.6
Minas,73.2,25.6,61.1,0.419,8.4,26.1,0.321,13.6,19.5,0.699,7.1,23.5,30.5,18.6,8.1,2.8,13.5,0.525,0.487,21.0,71.7,46.0,72.7,16.3,10.9,6.9,98.4,103.1,-4.7,72.5,1.4,16,0.457
Basquete Cearense,71.7,25.8,63.3,0.408,8.4,26.7,0.316,11.4,17.6,0.647,10.6,24.4,35.0,13.3,6.8,1.9,14.0,0.505,0.474,30.7,74.4,52.0,51.4,16.5,9.4,5.3,99.4,105.5,-6.2,72.4,0.9,14,0.412
Botafogo F.R.,69.8,24.3,59.6,0.409,6.9,21.5,0.322,14.2,20.5,0.693,8.0,24.5,32.5,14.7,7.0,2.5,14.6,0.509,0.467,24.2,74.1,49.1,60.4,17.6,9.4,6.8,94.2,108.1,-13.9,74.5,1.0,7,0.233
Liga Sorocabana,69.5,24.7,60.5,0.408,5.8,20.0,0.287,14.4,20.4,0.706,9.7,22.1,31.9,14.0,6.8,1.7,14.4,0.5,0.455,30.1,73.5,51.0,56.6,17.1,9.6,4.9,96.8,108.7,-11.9,71.7,1.0,3,0.107
Campo Mourao,68.8,24.8,61.0,0.407,7.8,23.5,0.331,11.5,16.7,0.686,8.4,22.9,31.3,14.7,6.4,1.9,13.3,0.503,0.471,23.7,70.9,46.1,59.1,16.3,8.8,4.8,95.2,111.0,-15.8,71.8,1.1,4,0.143
Joinville,66.9,23.6,62.0,0.381,8.1,27.0,0.299,11.5,16.5,0.701,7.2,21.1,28.3,12.5,8.6,1.7,12.6,0.483,0.446,20.3,68.2,42.6,52.8,15.4,11.8,4.7,91.8,107.3,-15.4,72.7,1.0,7,0.25
