Team,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,ORtg,DRtg,eDiff,Pace,Ast/TO,W's,Win %
Franca,85.5,30.3,62.4,0.486,10.8,28.6,0.379,14.1,18.0,0.781,8.6,25.8,34.3,17.6,6.8,1.8,11.3,0.608,0.573,26.0,72.5,50.2,58.0,13.8,9.5,4.7,118.6,107.2,11.4,72.4,1.6,30,0.833
Mogi das Cruzes,84.3,30.5,64.6,0.472,8.7,24.0,0.362,14.6,19.5,0.749,10.7,26.5,37.2,19.4,6.3,2.8,12.3,0.576,0.539,31.1,70.4,51.7,63.8,14.4,8.6,7.4,114.3,109.7,4.6,73.4,1.6,20,0.625
Paulistano,84.0,28.9,65.5,0.441,10.4,30.9,0.336,15.8,21.3,0.74,11.9,28.4,40.3,17.6,5.6,2.4,13.8,0.56,0.52,32.6,74.4,54.0,60.7,15.5,7.5,6.5,111.3,106.8,4.4,75.2,1.3,16,0.571
Flamengo,83.6,29.9,66.3,0.451,9.2,27.3,0.338,14.5,19.0,0.763,12.4,29.0,41.4,18.4,7.2,1.6,12.6,0.559,0.52,34.3,77.0,56.0,61.7,14.4,9.9,4.4,114.2,97.2,17.0,73.3,1.5,31,0.816
Pinheiros Sky,82.1,28.7,63.4,0.452,11.0,28.9,0.381,13.8,18.8,0.733,10.7,23.3,34.1,15.0,7.6,1.6,13.0,0.573,0.539,31.5,70.2,50.6,52.5,15.4,10.6,4.3,113.7,105.4,8.4,72.2,1.2,24,0.75
Corinthians,79.1,27.4,62.9,0.436,7.3,22.2,0.328,16.9,21.5,0.787,9.9,24.9,34.8,17.0,7.7,2.1,13.9,0.547,0.494,27.6,71.3,49.2,62.1,16.2,10.3,5.4,105.6,107.8,-2.3,74.6,1.2,14,0.438
Uniceub-BRB-Brasilia,78.2,27.0,62.7,0.431,8.6,26.2,0.329,15.6,21.5,0.723,9.5,24.8,34.3,16.2,6.4,2.8,14.7,0.542,0.5,26.1,69.7,47.6,60.1,17.0,8.6,7.4,103.3,110.8,-7.6,75.0,1.1,11,0.379
Sao Jose Unimed Vinac,77.9,27.3,61.0,0.448,8.1,26.2,0.308,15.2,20.3,0.747,8.8,25.1,34.0,18.6,7.0,1.4,14.7,0.557,0.514,26.1,71.6,49.3,68.1,17.3,9.4,3.9,104.6,108.9,-4.3,74.3,1.3,9,0.321
Minas,77.4,27.2,62.8,0.434,8.7,25.9,0.337,14.2,20.1,0.705,10.3,25.3,35.7,16.7,7.6,2.1,14.2,0.54,0.503,28.9,71.9,50.2,61.4,16.5,10.3,5.6,104.2,108.0,-3.9,74.5,1.2,12,0.414
Bauru,77.1,26.9,60.6,0.445,9.2,27.0,0.341,14.0,18.8,0.743,7.9,25.3,33.3,16.9,6.8,1.9,12.4,0.56,0.521,23.2,72.1,48.0,62.8,15.3,9.4,5.4,106.6,109.5,-2.9,72.0,1.4,13,0.406
Joinville,76.8,27.2,65.5,0.416,10.5,30.0,0.351,11.8,17.3,0.679,10.4,24.0,34.5,13.8,7.6,2.1,13.5,0.525,0.496,27.5,66.9,46.7,50.8,15.6,10.3,5.2,103.1,113.6,-10.4,73.7,1.0,5,0.2
Botafogo F.R.,75.5,27.2,61.1,0.445,8.3,23.9,0.348,12.8,17.4,0.738,10.3,22.3,32.7,16.2,6.8,1.9,13.4,0.549,0.513,30.7,67.9,49.1,59.7,16.3,9.7,5.8,107.3,109.9,-2.7,70.8,1.2,18,0.474
Vasco da Gama,74.3,26.4,64.9,0.407,7.3,24.0,0.302,14.2,20.0,0.713,11.0,25.1,36.1,17.2,6.8,1.1,14.2,0.505,0.463,28.3,70.7,48.5,65.2,16.2,9.0,2.9,98.6,114.0,-15.4,76.0,1.2,5,0.192
Basquete Cearense,73.7,27.3,64.1,0.425,7.7,24.3,0.319,11.5,16.9,0.679,11.5,24.9,36.4,13.4,7.1,2.4,13.3,0.515,0.485,30.2,73.9,50.8,49.2,15.7,9.9,6.3,101.8,107.9,-6.1,72.4,1.0,10,0.323
