X,Y
-23.243689,48.53469
0.19209671,48.342857
-23.243689,47.57551
23.408344,47.57551
-10.4555435,27.624489
9.412735,26.089798
10.949505,23.787758
-22.804611,7.6734695
-17.59056,6.906124
-9.467618,3.0693893
21.87157,3.0693893
20.71899,2.6857147
-8.589462,2.4938774
-20.93853,1.5346947
-8.534578,0.0
-20.334797,-1.5346947
-23.463226,-0.19183731
-1.6191006,-1.726532
-20.115257,-4.028572
22.804611,-2.1102028
-10.016465,-2.6857147
-21.212954,-2.30204
23.682766,-6.906124
-20.82876,-6.714287
22.530186,-6.330612
13.529087,0.0
-13.583974,0.0
23.737652,-9.97551
22.69484,-10.167347
19.291988,-11.702042
-9.906696,-14.963264
10.729965,-21.102041
-11.498353,-25.706123
11.772778,-25.897959
10.675083,-25.130611
-11.004391,-28.008163
-10.236005,-26.281633
-12.431394,-28.967346
-11.663008,-28.2
-13.254665,-31.269388
13.9132805,-35.29796
17.864983,0.0
-17.974752,0.0
-23.84742,-41.820408
24.06696,-44.314285
-24.506037,-44.314285
7.381996,0.19183731
-7.436882,0.38367462
-23.792536,-44.506123
-1.2349072,-22.828571
22.521347,49.125366
21.20039,48.932037
-21.986233,49.12149
-22.918604,49.121407
-1.0159531,48.54422
-22.42369,47.964287
23.292511,48.35253
22.026524,48.159256
20.595436,48.159187
13.609608,45.26178
16.085361,44.875298
20.818531,43.5226
-15.561479,43.52778
13.611267,42.94426
-20.499035,43.52848
-12.37549,40.63365
-22.468458,39.093704
15.26244,41.592064
14.054607,38.30944
-10.945874,38.125427
-11.767443,36.38967
13.836117,36.18544
12.790451,37.151337
-22.410553,36.394302
10.220795,17.463898
9.5614395,17.078743
9.564095,13.605366
-20.901182,10.75639
9.6768265,9.939159
-21.6098,7.0963326
19.905468,8.572491
-22.705978,6.9054565
-21.443598,5.5546265
22.987839,6.2512093
-21.770351,3.6284904
-22.702686,4.015465
-23.908566,4.0175896
22.660072,2.3913689
-19.90443,1.8910866
-1.6850929,-1.8059616
-8.766518,-1.2135658
-9.636297,-9.498825
13.477215,-0.099983215
-13.650594,-0.0476532
-8.977703,-9.693058
-11.918352,-31.261292
-12.958318,-33.18369
17.821198,-0.30132675
-12.789666,-37.228035
-17.872961,-0.61753845
21.312447,-41.78048
24.393326,-44.105526
22.413609,-44.098145
6.444519,-2.7865334
-6.9545918,-2.1809387
23.56829,-43.90964
21.3139,-44.094044
-0.7340908,-21.662378
13.545986,49.160988
-14.978928,49.07833
21.03518,48.554817
21.035221,47.592583
17.235573,48.37699
-0.66114044,48.253426
13.546268,47.044083
-14.922691,46.576332
-10.018036,37.321396
-12.4943,34.060295
-11.283762,35.787117
-11.172259,32.516182
-11.94239,30.980164
-7.151514,28.268661
-7.811573,26.732376
-8.692652,27.31282
-7.150429,25.383408
-8.966084,22.69767
-9.019984,19.813004
9.091217,18.589447
-9.018912,17.120628
8.156506,13.016338
-22.28088,9.2878
-20.464903,10.049908
-21.124166,7.7452126
-21.398537,6.2081833
-22.114056,6.2109337
-9.013399,3.2768059
-8.022566,2.8885117
-9.288049,1.9321785
-20.679829,0.24586868
-22.772278,2.176258
-7.9111557,-0.5721359
-21.614918,-0.71167755
21.973022,0.46634674
21.97311,-2.0325851
-9.2870455,-0.56684494
-1.6367493,-1.7495995
21.642948,-3.18462
20.652237,-1.0663986
9.205296,-2.9445915
22.193336,-4.7244263
21.147717,-4.7204094
8.544853,-2.749836
23.45906,-3.3838196
-21.668694,-3.0181198
-20.237198,-4.176899
6.949354,-5.0502434
13.552483,0.6909523
14.599457,-9.884537
-13.635117,0.026554108
13.939129,-10.074181
10.52787,-13.328068
-22.377312,-15.315416
-19.68083,-15.710098
-22.321007,-17.621492
-19.569374,-18.400658
10.420406,-28.506317
11.245636,-28.317387
9.760231,-28.69588
-12.465952,-30.531448
-15.3229885,-38.587563
17.95544,-0.094898224
-17.873081,0.42730713
15.538387,-40.818653
-13.452525,-38.7868
-16.09222,-40.50512
-23.628138,-41.244354
23.459751,-41.617252
22.359573,-41.61303
-23.18763,-42.014214
14.933258,-40.624283
-15.377,-40.699913
23.734814,-42.770546
23.074745,-44.112244
16.253647,-42.1657
-17.136173,-42.997643
24.339916,-44.309135
23.45982,-45.457916
19.059189,-43.71276
15.978928,-45.23716
6.837736,2.254654
-6.865984,0.76945496
-17.135036,-45.302013
-20.216333,-43.561916
-24.230806,-45.466785
-24.617191,-43.160946
22.24965,-44.493137
-23.296017,-44.8943
-1.4673557,-15.587936
24.242393,44.982124
13.358299,33.911278
-12.407749,34.99565
-10.117831,30.298622
-12.187112,30.968658
-10.955761,30.91082
-9.89752,27.234413
-10.959047,27.472916
-10.345342,26.300125
-11.240821,25.194038
-10.180251,23.812347
-17.646187,15.13007
-18.378658,15.157398
-23.070658,13.604477
-18.549885,10.377838
22.244732,8.41291
-21.316917,7.5982933
20.576912,7.3486595
-21.939589,5.1271286
-21.939148,7.235283
23.142525,4.278904
-14.786705,3.7590637
-13.777979,3.537609
-21.317928,3.5754547
-22.505747,3.611454
21.634373,2.0872154
9.631332,0.38236618
-14.67683,0.5135002
8.978264,0.5892372
-13.612323,0.4830742
-1.1686649,-2.5198936
15.695282,-3.5362015
-21.60223,-3.4996758
-22.055239,-7.3151054
-22.903296,-4.9976807
13.917118,-1.0533638
-13.165593,-0.8630905
10.139511,-14.644123
10.458721,-17.461098
11.381084,-17.664974
10.075737,-18.57841
11.374107,-20.47277
-10.672405,-22.391138
10.123783,-21.201664
-9.948357,-22.212343
-10.958436,-30.15851
14.803753,-33.217175
18.238018,-0.9880066
-17.597881,-0.7399559
-22.174982,-41.86039
24.00262,-42.557976
-18.460537,-41.871826
-24.434284,-43.18808
23.995174,-44.779327
-18.293224,-44.341663
-19.697262,-43.00877
-23.755928,-43.189625
7.829571,-1.0702248
-6.6433105,-0.09562683
-21.104483,-43.766445
-23.586647,-45.476242
-22.175423,-44.145107
24.469265,-46.44506
23.56298,-46.444748
-0.11772728,-0.2806549
20.828758,47.76735
-12.925357,45.46531
13.638859,44.314285
-21.542261,39.134697
11.992317,38.367348
-21.542261,37.02449
20.993412,20.14286
22.585072,17.265305
7.601536,14.579594
9.687157,11.510204
8.973656,11.318367
19.950603,11.318367
-9.412733,9.783672
-8.4248085,9.97551
-21.7618,7.6734695
-22.749725,7.481632
21.267838,8.057144
23.243687,7.289795
-19.950603,7.6734695
-21.158068,4.4122467
24.012074,3.8367348
-20.444567,4.2204094
-20.334797,2.30204
-22.804611,4.2204094
-21.377607,1.15102
23.737652,1.3428574
22.69484,2.30204
-22.036224,0.19183731
-23.024149,0.95918274
-20.334797,-0.19183731
-1.6191006,-1.726532
19.017563,-5.7551003
13.529087,0.0
-13.583974,0.0
-21.322721,-8.248981
-15.834249,-12.085712
20.225029,-17.07347
24.451153,-23.787756
10.675083,-23.020409
23.792534,-23.595919
-10.675082,-25.322449
12.047199,-29.159184
17.645443,0.0
-17.810099,-0.57551193
23.133919,-42.012245
-23.902306,-42.012245
-24.560923,-44.69796
-18.907793,-42.77959
24.121845,-45.465305
7.327114,-0.19183731
-7.1624584,0.95918274
-18.907793,-45.273468
-21.377607,-43.54694
23.298573,-44.506123
-23.902306,-44.889797
-1.344677,0.38367462
-21.646376,48.55738
-24.12169,48.54782
13.55991,42.902245
16.421127,36.930817
11.52721,35.56128
10.207893,34.205627
-23.884031,33.10945
-23.935047,29.636948
-10.847515,27.758614
-8.756279,25.259476
9.552341,22.24469
8.83783,21.856293
20.60212,21.901665
18.293327,21.314308
8.729351,17.999825
23.296211,12.08046
-7.590006,9.841469
-20.392218,7.0943375
-24.845716,9.004131
-21.491293,7.090103
-9.509477,4.824154
-8.575762,5.405758
-21.323093,4.0079803
-20.3342,4.2044487
22.197613,2.6344414
-8.572737,1.552681
-9.451577,1.1640205
-23.794296,2.649887
20.384369,2.0495224
8.62561,1.8115807
-24.947306,1.8748703
23.626362,0.13568497
21.923176,-1.6044273
21.923412,-4.878525
-15.104001,-6.3691406
-18.234997,-6.766327
0.0,-0.14796066
-16.280819,-39.277084
-24.235607,-43.537178
-23.027407,-44.109222
-23.133379,46.338303
-24.112808,45.903053
-15.160544,46.19738
-22.24494,45.24021
-23.815207,43.82003
-14.752269,43.91767
-15.68628,43.485123
-15.660272,40.8062
-14.4384,39.911537
10.917778,40.610123
-8.032534,35.247078
12.4674835,35.64199
-12.0942545,31.04303
18.465416,28.547646
10.458729,25.696037
9.153854,26.98999
-22.296759,25.65554
14.936047,26.655457
-11.42878,24.403748
10.355095,22.99588
9.565739,22.57956
-13.766477,21.079666
-22.147171,2.8945732
-23.353376,4.1686707
-24.597084,4.131481
20.551006,3.1799698
-22.548304,0.07891083
-18.70382,0.7463684
-23.959555,-4.0619698
-0.61577225,-1.2090683
9.125061,-9.677032
8.285694,-9.695
8.242023,-12.720573
9.254322,-14.212185
-9.768166,-15.50367
-11.108622,-18.511213
23.46952,-29.310762
-21.994799,-43.528934
-23.805195,-44.263084
-23.467636,47.58674
15.518646,45.773735
-15.470746,43.429466
-11.850413,31.176224
9.194969,26.12017
-8.502411,24.478653
-8.885019,16.220482
20.827988,10.791691
-24.56203,10.577717
23.200691,9.8401375
-20.290066,8.487312
-22.316854,7.7107353
-9.2675705,7.3850784
14.380913,4.7962494
22.542896,2.1347923
-22.754858,2.3369904
23.757458,1.1766777
-21.494867,-1.4957199
-20.672993,-2.8360634
-23.740566,-2.0796814
-20.4537,-5.138386
23.815407,-3.6383438
22.877213,-3.6416588
-9.429982,-4.908512
-21.823431,-4.951168
-0.14727402,-0.07059097
8.823826,-9.463303
10.532959,-14.269291
9.101601,-15.620197
9.709412,-20.622711
-9.921014,-21.818005
11.30904,-25.817099
-14.584098,-35.468815
-15.516364,-39.12062
21.850643,-43.337234
-24.06868,-44.11915
20.788895,48.38069
-16.430618,46.93403
-17.811916,47.331635
-14.000538,45.948387
17.174221,45.13417
12.406368,45.169968
-16.31781,44.225143
-17.090117,43.26371
12.570175,40.35102
-11.125644,37.42341
-10.353911,37.61154
-12.448748,36.85238
-10.241501,34.32715
-11.012729,33.55931
22.968136,30.083992
18.588238,17.608559
-16.951206,11.385059
-20.758295,10.239372
-23.52003,10.248192
-18.439518,9.845966
-15.624483,7.907936
-9.948564,7.5058823
-8.186319,6.537258
23.393139,6.642555
23.17329,3.9558334
16.341568,5.317215
22.1899,3.38237
-20.752947,5.027767
19.458206,4.348934
-18.323524,3.8640327
