X,Y
-14.626783,40.477554
-13.035127,36.25714
13.090012,33.18775
11.333698,31.269386
-10.565312,23.979591
-9.357848,14.963264
22.310646,11.318367
-21.87157,8.248981
-22.969265,8.248981
-22.091108,9.016327
-20.49945,8.057144
21.322723,7.0979576
23.902306,7.481632
22.420418,4.7959175
-22.255762,1.9183655
-8.315039,3.8367348
-17.371021,3.6448975
-22.036224,2.877552
-14.5170145,1.3428574
-23.572996,0.57551193
-21.7618,-1.5346947
-22.749725,-2.30204
21.377605,-0.38367462
-23.902306,-4.028572
24.231613,-3.4530602
23.133919,-4.7959175
-22.420418,-5.9469376
0.027442932,0.0
16.383095,-39.134693
23.902306,-43.738777
23.408344,-42.204082
24.012074,-45.657143
23.957191,-47.383675
-16.32821,45.848976
15.614708,44.69796
13.968166,43.93061
23.298573,42.779594
13.364433,39.518364
13.1997795,38.367348
10.345776,32.99592
9.632271,25.322449
10.29089,21.869385
8.973656,21.293877
-18.249176,18.608162
9.796925,18.032654
-8.809002,14.004082
-8.863886,9.208164
-22.310648,6.906124
-21.597145,3.6448975
-21.267838,4.028572
23.133919,4.4122467
19.676182,4.2204094
-23.024149,3.6448975
14.35236,3.2612228
22.639957,0.57551193
-22.365532,0.57551193
-21.597145,-2.1102028
24.06696,-2.1102028
9.357849,-6.5224495
0.027442932,0.0
13.419319,-9.400002
-23.188803,-43.355103
11.004391,39.32653
-22.749725,38.751022
15.395168,28.391838
-9.851811,18.608162
-22.585072,11.318367
17.755215,10.359184
22.036224,7.865307
22.036224,6.714287
-21.65203,6.138775
-23.298573,5.5632668
-20.82876,2.877552
23.02415,3.8367348
20.93853,3.8367348
8.315037,1.726532
-22.420418,1.726532
21.432491,0.0
-21.267838,-0.7673454
22.200878,-1.9183655
-23.408342,-0.38367462
-22.475302,-4.60408
22.969265,-6.138775
0.027442932,0.0
13.858398,-16.881632
10.400658,-22.636734
11.388584,-24.363266
-13.035127,-32.99592
-11.882546,-34.14694
15.72448,-42.012245
-15.010977,45.273468
-10.400659,44.314285
-11.278814,36.25714
-9.906696,9.97551
22.420418,7.0979576
21.761799,5.5632668
9.193195,4.028572
-22.036224,4.028572
22.859493,2.6857147
21.322723,2.4938774
-22.969265,1.15102
21.926453,-0.57551193
-20.82876,0.7673454
23.62788,-1.726532
-23.079035,-2.1102028
0.027442932,0.0
10.181118,-13.42857
11.772778,-29.734694
-23.353458,-44.69796
-23.133919,40.669388
13.529087,39.90204
-9.467618,24.363266
8.479694,19.567345
-9.577388,18.800003
-22.036224,7.6734695
19.895718,9.591835
-22.036224,8.248981
-21.597145,4.7959175
22.969265,4.2204094
-22.91438,4.7959175
21.15807,5.5632668
-21.487377,4.987755
22.91438,3.8367348
-23.298573,2.1102028
23.02415,0.0
-23.024149,-0.38367462
-21.926455,-0.19183731
23.133919,-2.4938774
21.65203,-1.5346947
-22.310648,-4.4122467
22.475304,-6.138775
-23.353458,-4.987755
22.585072,-6.714287
0.027442932,0.0
-22.310648,-8.248981
11.44347,-24.746939
12.596046,-33.379593
22.639957,-44.122448
15.559826,47.959183
15.559826,47.191833
12.98024,33.571426
-19.67618,19.759186
22.145992,17.265305
-9.302964,12.853062
-21.87157,8.440815
-22.585072,7.481632
23.079033,8.057144
-21.267838,5.179592
22.804611,5.3714294
-22.530186,3.0693893
-23.627882,4.987755
-20.993414,4.987755
22.639957,2.30204
-22.200878,2.877552
-21.048298,0.0
-17.371021,0.38367462
-23.84742,-0.57551193
-1.6191006,-1.726532
22.749725,-1.726532
-13.254665,-1.726532
13.529087,0.0
-13.693743,0.95918274
-12.37651,-8.82449
12.760704,-27.048979
14.736553,-35.489796
17.8101,0.19183731
-17.919868,-0.19183731
-16.547749,-39.902042
7.491768,-0.38367462
-7.6015377,0.0
-1.0153675,0.19183731
18.798023,48.726532
18.798023,47.57551
-13.748628,42.779594
-9.248079,24.5551
-9.083425,24.74694
-10.675082,23.404083
-9.577388,13.42857
23.737652,9.591835
23.737652,9.97551
-20.993414,8.057144
23.02415,5.7551003
-22.475302,7.481632
22.91438,4.4122467
22.91438,5.7551003
21.487377,2.6857147
-19.127333,3.6448975
21.322723,3.4530602
-21.158068,2.877552
22.530186,0.95918274
-21.487377,-1.15102
21.487377,-1.5346947
-22.639956,-0.19183731
-1.6191006,-1.726532
-8.973656,-1.5346947
-21.322721,-2.30204
20.828758,-3.8367348
13.529087,0.0
-13.583974,0.0
-9.467618,-19.183674
-13.638859,-32.42041
14.791439,-34.338776
17.864983,0.19183731
-17.919868,0.0
-24.506037,-41.820408
-23.902306,-44.314285
21.761799,-43.54694
7.1075745,1.3428574
-7.2722282,-0.19183731
18.19429,-43.738777
-24.06696,-44.314285
-22.749725,-44.889797
-1.3995609,0.38367462
-18.133175,48.325455
-18.132784,47.55294
13.612705,43.384346
-15.58498,43.102287
-20.732716,43.506767
14.053661,39.723557
14.163849,39.145462
-11.210156,29.965118
-11.210321,30.350998
-11.429535,25.914108
10.256611,22.401718
-10.209067,15.110352
20.383404,10.840427
23.021915,9.684227
-20.65875,8.947182
24.285778,8.14497
22.142658,6.800255
20.053738,6.9937706
21.538048,6.8005943
-22.59426,5.2813644
22.527504,2.3773918
-8.989075,4.1187057
22.802273,2.5696144
-23.976435,1.614624
21.153587,-0.31445694
-1.6445084,-1.8561058
23.626587,-2.044613
-21.92607,-1.6661415
21.978104,-2.6216812
-22.921448,-3.596012
-17.996458,-3.0159073
-22.698483,-6.297386
13.563507,-0.12221146
-13.684469,-0.12236786
17.580647,-10.6998825
12.9074135,-30.705894
17.909702,-0.12218475
-18.053146,-0.3153
7.4517784,-1.0847626
-6.611931,-1.856842
-22.732677,-43.906864
-19.79993,-45.245483
-0.10054016,0.26296234
-22.703365,48.356125
-22.703339,47.39382
-17.065235,44.33426
-21.335493,43.549103
-9.218897,13.503181
21.699463,12.720036
19.047531,7.4930916
20.98431,5.360546
-13.388151,4.8257027
-8.942184,1.9248657
21.15269,0.9050331
22.70139,2.0647278
-8.832466,2.5036736
-1.7410812,-1.7577591
22.150463,-2.3905334
-9.765045,-2.3194466
-9.434927,-5.987423
-9.59952,-6.759056
13.470451,-0.048656464
-13.771277,-1.3460274
21.9334,-10.140846
-11.023857,-25.47894
-13.93175,-32.605827
14.093246,-33.354294
17.835037,0.13651276
-18.102262,0.20542145
23.779785,-44.468678
