X,Y
21.432285,46.249863
23.05175,45.785812
21.426914,45.117966
-0.20219994,47.029648
-22.494518,48.02858
24.398586,45.33702
-13.446146,44.65911
-14.797844,44.536545
15.935673,42.760223
-15.869762,44.014053
-14.349848,42.012024
-20.6789,43.10221
20.758198,41.0028
-13.393757,41.387253
15.922222,39.546135
-13.396721,38.88894
-14.578197,39.13851
-15.591415,40.14978
-11.599619,38.417915
10.348228,22.596298
-9.498621,20.138985
-22.334167,10.633614
-13.769714,8.064228
-7.1760826,8.430061
-12.876005,5.555828
10.067837,5.4397125
-23.751982,4.34338
-8.743376,4.1010857
-14.222255,4.6413155
-23.015299,4.5139503
-13.271128,3.087654
-21.091837,3.691967
-23.129253,1.0657158
23.03365,-1.6737251
23.629997,-0.56962585
-24.659586,0.7233391
22.176361,-1.0910492
-1.1558552,-2.5555
-22.168125,-2.5988884
13.961651,-1.2490425
-13.110769,-3.2057457
-10.569141,-23.006332
12.551338,-28.737692
18.239876,-1.3612938
-17.654062,-0.4195404
-23.58863,-41.681458
17.951862,-41.991104
-24.435305,-43.770046
21.541592,-43.668213
6.9271793,-2.0063705
-6.3647747,-3.7520103
-23.588963,-43.961548
17.941177,-44.40344
-0.9302788,-22.948753
-1.8828182,48.65706
-18.743855,48.53045
14.712574,47.815193
12.788654,45.303078
-16.079098,43.66268
-15.084157,44.241875
-12.981273,43.651527
-20.50764,43.87297
12.792221,42.589684
-15.133396,40.55126
-16.073296,40.165894
-20.355993,19.975067
-20.183619,16.284576
21.191711,13.906372
-8.898348,13.747051
23.83057,13.322838
22.677677,12.356552
9.641415,10.045368
9.035542,10.045872
-22.77422,9.683937
23.563389,6.938122
-17.450167,3.2735748
22.799618,2.2952309
-1.5870018,-1.7707176
-9.313068,-3.5173798
-8.70546,-3.517208
13.618752,-0.026222229
-13.629009,-0.026161194
9.397533,-13.193371
10.285774,-18.612589
17.910091,-0.21975708
-17.886852,-0.22025299
-18.150402,-40.76861
7.562828,-0.60728836
-6.9394207,-2.7410545
-0.9603634,-15.142263
0.85071373,48.342857
20.334797,48.151024
-18.578485,47.383675
14.571899,40.09388
-10.784852,31.077553
10.839737,30.11837
-10.839737,28.199997
11.004391,27.624489
-10.18112,25.897957
-10.839737,26.473473
11.44347,24.363266
-8.91877,24.363266
-10.620197,22.25306
19.072449,15.155102
9.906696,12.853062
10.510429,14.004082
9.083424,13.236736
9.083424,11.12653
23.133919,9.208164
14.077938,9.016327
22.365532,9.208164
9.193195,7.865307
23.298573,5.5632668
22.255764,6.138775
14.517014,5.5632668
13.858398,5.7551003
-22.639956,2.30204
-20.170143,1.9183655
22.69484,-0.7673454
-1.6191006,-1.726532
9.577389,-2.6857147
-22.804611,-3.8367348
18.798023,-4.60408
9.412735,-8.248981
13.419319,-1.9183655
-13.583974,0.0
-20.82876,-9.591835
8.534576,-9.97551
9.906696,-12.27755
-9.906696,-13.044899
21.15807,-14.771427
9.632271,-21.485714
19.950603,-21.485714
-12.705818,-28.008163
-10.510428,-26.857143
-11.8276615,-28.967346
-11.717893,-31.269388
17.919868,0.0
-17.919868,0.0
7.436882,-0.7673454
-7.491768,-0.38367462
-1.3995609,-17.457144
-22.420418,47.959183
14.297474,44.889793
14.297474,42.012245
-11.333699,38.55918
12.321625,37.408165
-12.541163,36.25714
8.754116,20.334694
9.906696,20.14286
8.973656,16.881634
9.906696,17.64898
9.632271,14.004082
9.632271,11.510204
-9.467618,10.359184
-8.589462,10.551022
-8.699232,8.248981
-9.412733,5.9469376
9.577389,6.714287
-22.145994,6.714287
-8.754116,5.3714294
22.969265,2.877552
9.1383095,1.726532
-19.182217,2.1102028
-21.048298,0.19183731
21.542263,-0.57551193
-1.6191006,-1.726532
-9.96158,-2.1102028
-8.91877,-2.30204
-22.749725,-2.4938774
-9.02854,-5.3714294
-10.126235,-5.179592
13.529087,0.57551193
22.969265,-6.138775
9.083424,-6.5224495
-13.583974,0.0
14.242592,-10.359184
10.510429,-14.387756
11.004391,-17.07347
-22.585072,-16.689796
10.510429,-19.37551
9.742043,-18.8
-13.144896,-31.07755
17.919868,0.0
-17.864983,0.19183731
-20.82876,-41.436733
23.079033,-42.39592
20.00549,-43.163265
24.231613,-43.738777
23.02415,-45.273468
21.542263,-43.355103
20.00549,-45.465305
7.0526886,0.0
-7.2173443,0.19183731
-23.463226,-43.54694
-21.7618,-43.355103
-20.71899,-43.738777
-0.6311741,-0.95918274
-0.57629013,48.151024
21.048298,48.151024
-21.87157,47.57551
-12.431394,37.79184
10.894623,35.29796
-12.37651,35.106125
11.992317,35.873466
-10.345774,35.106125
-10.400659,32.42041
11.827663,32.22857
10.839737,32.036736
-11.004391,30.885712
-12.26674,32.804085
-12.047201,28.967346
-11.114161,28.199997
-9.7969265,28.008163
-9.1383095,17.840813
20.71899,14.771427
-22.091108,12.469387
-8.91877,10.359184
-22.749725,12.085712
19.621296,11.510204
14.626785,10.934692
-9.7969265,11.12653
-23.024149,9.208164
21.761799,10.167347
9.467617,8.248981
-8.754116,7.289795
-9.7969265,7.481632
10.07135,6.906124
8.754116,7.865307
-9.248079,5.5632668
17.919868,5.179592
9.1383095,3.6448975
16.383095,5.3714294
10.016464,4.028572
8.315037,3.6448975
22.69484,2.30204
19.072449,2.1102028
22.145992,-1.726532
-1.6191006,-1.726532
20.389683,-1.726532
22.749725,-4.7959175
-22.365532,-5.5632668
-21.487377,-6.906124
21.65203,-5.9469376
-21.212954,-9.400002
13.529087,-0.38367462
-13.583974,0.0
10.07135,-8.248981
-22.475302,-8.248981
-11.004391,-17.07347
11.717892,-23.787756
